Date,Avg_Sig_Wave_Height_(m),Max_Sig_Wave_Height_(m),Max_Top_10%_Wave_Height_(m),Avg_Peak_Period_(sec),Avg_Mean_Period_(sec),Avg_Depth_(mm)
2025-03-12,0.48,6.57,8.34,8.64,10.44,18076.67
2025-03-13,0.04,0.13,0.17,11.04,11.96,18062.67
2025-03-14,0.03,0.13,0.17,13.4,13.88,18058.5
2025-03-15,0.03,0.07,0.1,13.2,13.4,18071.04
2025-03-16,0.02,0.04,0.05,12.17,14.79,18067.17
2025-03-17,0.03,0.1,0.12,11.66,12.02,18016.75
2025-03-18,0.08,0.4,0.51,10.1,11.1,17995.83
2025-03-19,0.07,0.23,0.3,7.45,9.37,18036.29
2025-03-20,0.16,0.64,0.82,7.2,8.35,18050.0
2025-03-21,0.05,0.17,0.22,9.77,11.18,18107.96
2025-03-22,0.05,0.21,0.27,9.27,11.44,18140.33
2025-03-23,0.04,0.12,0.15,10.4,11.91,18171.38
2025-03-24,0.03,0.15,0.19,11.3,12.78,18179.12
2025-03-25,0.04,0.15,0.19,12.32,12.62,18119.5
2025-03-26,0.03,0.15,0.19,11.09,12.83,18036.79
2025-03-27,0.03,0.14,0.18,13.8,13.64,17994.04
2025-03-28,0.06,0.3,0.38,9.75,11.44,17957.83
2025-03-29,0.06,0.34,0.43,11.04,11.73,17988.5
2025-03-30,0.09,0.34,0.43,8.66,8.88,17991.67
2025-03-31,0.03,0.12,0.15,10.68,12.88,17992.25
2025-04-01,0.04,0.13,0.17,9.72,11.27,17916.54
2025-04-02,0.06,0.22,0.28,9.44,10.91,18003.5
2025-04-03,0.03,0.12,0.16,10.44,12.02,18009.83
2025-04-04,0.08,0.28,0.36,8.2,8.51,17991.92
2025-04-05,0.05,0.17,0.22,9.03,9.95,17976.08
2025-04-06,0.04,0.14,0.18,10.16,12.26,17926.33
2025-04-07,0.03,0.08,0.1,11.48,12.7,17966.04
2025-04-08,0.04,0.09,0.11,9.71,11.15,17940.17
2025-04-09,0.1,0.35,0.45,6.73,8.06,17942.96
2025-04-10,0.15,0.44,0.56,8.58,9.08,17978.42
2025-04-11,0.12,0.46,0.59,8.56,9.04,17944.0
2025-04-12,0.07,0.22,0.28,10.92,10.75,17944.17
2025-04-13,0.05,0.13,0.17,10.4,11.38,17962.33
2025-04-14,0.12,0.38,0.49,6.97,8.73,17974.58
2025-04-15,0.1,0.43,0.55,8.53,9.28,17988.04
2025-04-16,0.03,0.16,0.2,11.6,13.61,18002.62
2025-04-17,0.03,0.12,0.15,11.05,12.35,17967.62
2025-04-18,0.03,0.13,0.16,10.96,12.04,17915.96
2025-04-19,0.04,0.11,0.13,9.68,11.28,17901.71
2025-04-20,0.08,0.39,0.5,9.15,9.88,17894.58
2025-04-21,0.06,0.2,0.26,10.5,11.76,17893.75
2025-04-22,0.03,0.08,0.1,11.97,13.17,17864.71
2025-04-23,0.05,0.2,0.26,10.65,11.51,17851.67
2025-04-24,0.08,0.43,0.55,7.88,9.14,17859.21
2025-04-25,0.07,0.22,0.28,8.43,9.1,17867.75
2025-04-26,0.09,0.34,0.43,9.58,9.93,17871.04
2025-04-27,0.05,0.14,0.18,10.21,10.12,17863.42
2025-04-28,0.07,0.29,0.37,9.24,10.67,17846.96
2025-04-29,0.05,0.16,0.2,10.79,10.35,17845.46
2025-04-30,0.08,0.42,0.53,9.3,10.96,17788.88
2025-05-01,0.06,0.28,0.36,10.66,12.09,17809.92
2025-05-02,0.04,0.23,0.29,9.81,11.52,17807.42
2025-05-03,0.05,0.22,0.28,10.99,12.25,17794.29
2025-05-04,0.09,0.32,0.4,11.04,11.28,17787.88
2025-05-05,0.1,0.3,0.38,8.86,9.6,17820.21
2025-05-06,0.07,0.33,0.41,10.11,10.19,17845.04
2025-05-07,0.04,0.17,0.22,10.47,12.31,17818.58
2025-05-08,0.03,0.06,0.07,12.58,14.0,17770.58
2025-05-09,0.03,0.07,0.09,11.01,12.12,17755.5
2025-05-10,0.04,0.14,0.17,10.07,11.65,17734.0
2025-05-11,0.03,0.03,0.04,13.74,15.01,17729.14
