Date,Avg_Water_Temp_(C),Max_Water_Temp_(C),Min_Water_Temp_(C),Avg_Air_Temp_(C),Max_Air_Temp_(C),Min_Air_Temp_(C),Avg_Wind_Speed_(m/s),Max_Wind_Speed_(m/s),Avg_Humidity_(%),Avg_Pressure_(mbar),Total_Rainfall_(mm),Avg_Light_Level
2025-02-13,16.47,16.53,16.43,12.56,14.1,12.0,1.54,4.1,83.48,785.23,1.05,89.78
2025-02-14,16.47,16.64,16.41,12.5,14.0,10.9,1.86,4.0,75.18,785.86,0.0,114.93
2025-02-15,16.41,16.5,16.32,14.21,20.8,11.8,1.8,5.9,64.2,782.57,0.0,141.53
2025-02-16,16.57,16.94,16.41,17.1,20.2,14.4,1.87,4.9,43.43,779.72,0.0,175.35
2025-02-17,16.7,17.44,16.41,13.97,16.9,12.1,1.24,3.4,70.97,782.47,0.04,157.73
2025-02-18,17.03,17.82,16.62,14.34,16.7,0.0,1.26,3.3,70.48,783.11,0.0,145.34
2025-02-19,17.2,17.45,16.92,15.34,17.2,14.4,1.58,5.2,68.8,780.87,0.0,150.9
2025-02-20,16.66,16.92,16.36,14.93,16.0,13.5,2.29,10.1,79.87,779.55,3.39,115.97
2025-02-21,16.36,16.4,16.26,12.63,13.9,10.8,1.25,4.4,73.13,782.44,0.22,131.66
2025-02-22,16.24,16.3,16.2,10.61,11.9,9.5,2.44,6.7,60.53,784.64,0.0,189.48
2025-02-23,16.13,16.2,16.05,10.6,11.2,9.6,3.52,8.7,51.52,787.05,0.0,223.37
2025-02-24,16.08,16.12,16.03,9.27,10.6,7.8,1.44,4.9,53.81,789.44,0.0,263.4
2025-02-25,16.42,16.58,16.0,13.4,15.5,8.6,2.74,5.5,33.62,787.67,0.0,204.43
2025-02-26,16.1,16.64,15.96,11.66,15.8,8.6,1.35,4.1,62.49,787.16,0.0,189.07
2025-02-27,15.98,16.09,15.92,12.44,15.1,10.5,1.75,4.8,57.86,787.51,0.0,194.21
2025-02-28,15.99,16.09,15.92,12.82,15.9,11.0,2.02,4.7,57.64,785.1,0.0,196.95
2025-03-13,17.98,19.84,16.59,23.94,27.7,19.8,3.76,10.6,37.27,780.58,0.0,125.36
2025-03-14,17.44,18.27,16.96,22.12,26.8,19.1,2.26,6.9,50.87,780.27,0.0,134.61
2025-03-15,18.8,20.6,17.94,19.3,23.1,17.3,1.82,4.3,70.91,781.6,0.04,127.66
2025-03-16,19.38,21.05,18.44,20.14,25.8,18.1,1.7,3.2,67.55,781.47,0.0,124.17
2025-03-17,20.49,21.34,19.98,20.01,22.5,18.5,1.79,5.9,63.13,778.82,0.0,135.56
2025-03-18,20.25,21.05,17.88,20.69,22.9,18.9,2.09,4.8,62.21,776.12,0.0,137.38
2025-03-19,18.65,19.62,17.68,17.62,18.9,16.6,2.21,5.7,75.03,779.16,0.0,115.69
2025-03-20,17.71,18.71,17.03,15.19,17.5,12.5,4.84,8.8,65.24,779.74,0.98,133.49
2025-03-21,17.71,18.49,17.1,11.88,13.3,10.5,3.54,14.3,70.6,782.87,2.95,131.4
2025-03-22,17.12,17.42,16.99,13.21,15.6,12.0,1.06,3.1,60.79,785.26,0.0,173.45
2025-03-23,17.41,18.85,17.1,15.04,20.9,11.7,1.96,7.7,64.44,788.61,0.0,165.07
2025-03-24,18.49,19.65,17.26,18.36,23.1,13.3,1.92,5.0,59.76,788.86,0.01,147.15
2025-03-25,18.38,19.33,18.01,17.99,22.2,15.4,2.87,4.9,71.47,785.4,0.0,135.54
2025-03-26,19.72,21.84,18.13,20.82,26.4,17.2,1.44,4.5,65.03,780.34,0.0,116.87
2025-03-27,21.39,24.66,19.67,23.64,30.7,19.9,1.68,5.1,55.64,776.02,0.0,124.3
2025-03-28,20.98,21.67,20.71,22.86,26.0,21.2,2.19,4.8,51.99,774.12,0.0,128.62
2025-03-30,20.14,20.35,19.72,18.13,18.4,17.7,1.46,3.3,71.52,778.84,0.0,121.05
2025-03-31,19.92,20.81,19.31,19.38,26.4,16.2,2.25,7.0,60.22,778.27,0.0,124.21
2025-04-13,19.58,20.46,19.19,,,,,,,,0.0,348.45
2025-04-14,19.37,20.17,19.19,,,,,,,,0.0,332.08
2025-04-15,19.3,19.69,19.01,,,,,,,,0.0,379.15
2025-04-16,19.99,22.38,19.01,,,,,,,,0.0,400.31
2025-04-17,20.3,22.22,19.26,,,,,,,,0.0,345.25
2025-04-18,21.15,24.65,19.87,,,,,,,,0.0,330.32
2025-04-19,21.39,25.26,20.46,,,,,,,,0.0,320.82
2025-04-20,21.21,24.52,20.51,,,,,,,,0.0,322.65
2025-04-21,21.31,24.12,20.54,,,,,,,,0.0,294.01
2025-04-22,21.89,25.05,20.73,,,,,,,,0.0,317.91
2025-04-23,21.96,23.06,21.3,,,,,,,,0.0,282.96
2025-04-24,21.7,23.12,21.21,,,,,,,,0.0,237.41
2025-04-25,21.8,23.0,21.29,,,,,,,,0.0,249.78
2025-04-26,21.7,22.75,21.24,,,,,,,,0.0,287.67
2025-04-27,22.11,23.97,21.28,,,,,,,,0.0,283.29
2025-04-28,22.42,25.35,21.51,,,,,,,,0.0,272.66
2025-04-29,22.39,24.08,21.99,,,,,,,,0.0,277.61
2025-04-30,22.59,24.19,21.94,,,,,,,,0.0,296.81
2025-05-13,24.85,26.09,23.59,,,,,,,,0.0,265.32
2025-05-14,24.65,25.15,24.11,,,,,,,,0.0,300.47
2025-05-15,24.35,25.83,23.91,,,,,,,,0.0,277.7
2025-05-16,24.84,26.72,23.75,,,,,,,,0.0,289.86
2025-05-17,25.87,28.75,24.71,,,,,,,,0.0,268.57
2025-05-18,25.25,27.64,24.09,,,,,,,,0.0,264.8
2025-05-19,24.52,25.75,23.85,,,,,,,,0.0,282.11
2025-05-20,24.76,27.56,23.76,,,,,,,,0.0,299.15
2025-05-21,24.87,27.42,23.72,,,,,,,,0.0,282.3
2025-05-22,25.76,28.21,24.69,,,,,,,,0.0,230.42
2025-05-23,25.04,26.0,24.31,,,,,,,,0.0,235.75
2025-05-24,25.29,27.75,24.22,,,,,,,,0.0,236.53
2025-05-25,25.75,28.45,24.27,,,,,,,,0.0,271.1
2025-05-26,26.11,29.44,24.88,,,,,,,,0.0,255.4
2025-05-27,25.36,26.14,24.81,,,,,,,,0.0,242.69
2025-05-28,24.97,25.46,24.64,,,,,,,,0.0,261.3
2025-05-29,24.93,26.21,24.52,,,,,,,,0.0,272.83
2025-05-30,25.44,27.41,24.51,,,,,,,,0.0,274.0
2025-05-31,26.03,28.81,24.7,,,,,,,,0.0,306.56
2025-06-13,27.26,30.82,26.44,,,,,,,,0.0,210.87
2025-06-14,27.43,30.28,26.72,,,,,,,,0.0,208.26
2025-06-15,27.17,29.35,26.74,,,,,,,,0.0,211.7
2025-06-16,27.35,30.65,26.64,,,,,,,,0.0,222.02
2025-06-17,27.49,30.35,26.64,,,,,,,,0.0,213.2
2025-06-18,27.62,30.25,26.69,,,,,,,,0.0,210.56
2025-06-19,27.6,30.04,26.97,,,,,,,,0.0,229.65
2025-06-20,27.51,29.74,26.86,,,,,,,,0.0,222.59
2025-06-21,27.65,29.98,26.48,,,,,,,,0.0,208.37
2025-06-22,27.91,30.55,26.63,,,,,,,,0.0,206.42
2025-06-23,27.68,30.26,26.88,,,,,,,,0.0,199.39
2025-06-24,28.13,30.52,27.17,,,,,,,,0.0,184.25
2025-06-25,28.09,31.4,27.16,,,,,,,,0.0,193.38
2025-06-26,28.29,30.4,27.13,,,,,,,,0.0,183.2
2025-06-27,28.45,31.38,27.32,,,,,,,,0.0,214.12
2025-06-28,28.57,31.86,27.62,,,,,,,,0.0,232.8
2025-06-29,27.85,29.16,27.6,,,,,,,,0.0,239.37
2025-08-13,,,,,,,,,,,0.0,
2025-08-14,,,,,,,,,,,0.0,
2025-08-15,,,,,,,,,,,0.0,
2025-08-16,,,,,,,,,,,0.0,
2025-08-17,,,,,,,,,,,0.0,
2025-08-18,30.77,31.16,30.47,30.98,33.0,28.7,6.89,12.6,59.31,774.4,0.0,168.56
2025-08-19,30.35,30.75,29.89,30.19,33.4,27.3,5.16,12.4,62.2,773.09,0.01,170.6
2025-08-20,30.1,30.3,29.89,30.85,34.2,28.3,6.05,10.7,61.94,771.49,0.0,155.49
2025-08-21,30.26,31.52,29.79,30.33,34.4,27.4,3.82,11.7,63.96,772.33,0.0,169.38
2025-08-22,30.4,32.1,29.84,30.86,36.0,28.0,3.41,10.5,66.4,772.57,0.07,153.3
2025-08-23,30.46,32.45,29.96,31.36,36.0,28.2,3.41,13.4,64.13,771.63,0.16,155.16
2025-08-24,30.38,31.82,30.05,30.96,35.3,28.3,4.54,12.5,66.26,772.01,0.11,157.27
2025-08-25,30.24,31.69,27.95,30.62,34.2,28.2,4.33,13.1,64.29,773.07,0.07,158.13
2025-08-26,30.25,30.88,29.91,30.41,34.3,27.9,4.14,11.7,62.74,773.87,0.03,168.72
2025-08-27,30.13,30.37,30.04,29.16,31.5,28.2,2.99,5.5,70.56,774.68,0.08,154.61
2025-08-31,29.81,30.35,29.54,30.56,32.8,27.9,7.86,12.7,59.4,775.93,0.21,178.19
2025-09-13,29.67,31.89,29.17,29.34,34.0,26.5,3.45,13.6,65.27,776.27,0.0,178.01
2025-09-14,29.84,31.56,29.19,29.62,35.2,26.2,2.83,9.3,66.57,776.31,0.0,169.65
2025-09-15,29.8,32.13,29.26,29.59,34.3,26.6,3.1,10.5,66.5,776.06,0.0,169.37
2025-09-16,29.69,31.7,29.25,29.13,33.3,26.2,3.05,11.4,64.79,775.26,0.0,169.6
2025-09-17,29.62,31.05,29.26,29.02,33.2,26.7,3.8,11.0,66.2,774.88,0.0,170.93
2025-09-18,29.39,30.15,29.21,29.02,33.1,26.4,5.72,12.7,65.97,774.93,0.0,160.36
2025-09-19,29.38,29.99,29.07,29.65,32.6,26.9,3.89,11.2,58.57,775.43,0.0,178.3
2025-09-20,29.55,30.6,28.93,29.6,35.3,25.5,1.83,5.2,47.34,775.56,0.0,226.2
2025-09-21,29.77,31.52,29.0,30.15,35.2,25.9,1.67,6.3,47.75,774.83,0.0,230.57
2025-09-22,29.62,30.91,28.93,31.36,37.1,27.7,2.38,6.5,44.62,775.81,0.0,218.12
2025-09-23,29.72,31.35,29.18,30.45,36.6,26.7,2.06,7.3,51.62,776.86,0.0,216.88
2025-09-24,29.35,30.83,29.04,29.15,33.8,26.9,3.65,12.9,61.91,776.67,0.0,201.36
2025-09-25,28.94,29.12,28.72,27.1,29.3,21.7,5.21,15.8,67.89,775.41,1.33,173.56
2025-09-26,28.92,29.83,28.57,27.9,31.1,25.4,3.94,11.1,67.26,776.38,0.0,168.75
2025-09-27,29.11,30.81,28.5,28.09,33.8,24.8,2.29,7.8,66.16,777.44,0.0,183.01
2025-09-28,29.05,30.29,28.47,28.84,34.8,25.0,2.29,7.1,51.91,777.56,0.0,227.49
2025-09-29,29.01,30.86,28.6,28.25,32.9,25.3,3.34,11.7,61.79,778.19,0.0,202.78
2025-09-30,28.77,29.99,28.44,27.79,31.0,25.0,3.72,10.7,64.65,778.23,0.0,197.08
2025-10-13,27.55,28.14,27.28,25.85,31.2,23.7,2.32,8.9,56.32,779.08,0.08,259.48
2025-10-14,27.43,28.16,27.08,25.14,29.7,21.9,2.48,9.7,51.71,779.94,0.02,305.21
2025-10-15,27.35,28.08,27.01,25.06,29.5,21.8,2.35,8.9,57.77,779.58,0.01,278.93
2025-10-16,27.5,28.78,27.01,25.54,30.9,22.1,1.75,8.0,60.16,779.69,0.03,268.44
2025-10-17,27.37,28.41,27.01,25.85,30.5,22.7,2.08,7.2,60.99,781.15,0.01,259.16
2025-10-18,27.12,28.16,26.85,25.71,29.5,23.4,3.35,10.9,63.73,782.38,0.04,229.11
2025-10-19,26.89,27.26,26.71,25.35,28.9,22.2,4.44,10.8,65.25,781.61,0.01,225.27
2025-10-20,26.96,28.27,26.66,25.83,29.6,23.0,2.82,9.7,67.94,780.19,0.07,200.76
2025-10-21,27.1,28.18,26.59,26.11,30.8,22.3,1.37,5.4,59.67,779.19,0.03,237.14
2025-10-22,27.21,28.6,26.61,26.91,31.7,22.9,1.42,6.3,51.4,779.42,0.0,287.15
2025-10-23,27.11,28.4,26.59,27.86,32.5,23.9,1.72,6.4,52.5,777.87,0.0,273.26
2025-10-24,26.86,27.99,26.57,26.99,30.7,24.4,2.73,10.0,56.93,778.71,0.0,264.65
2025-10-25,26.79,27.87,26.47,25.78,29.7,22.4,2.82,10.7,65.81,779.65,0.01,229.91
2025-10-26,26.77,28.14,26.44,25.58,29.5,23.0,2.69,9.5,67.04,779.72,0.0,222.82
2025-10-27,26.91,28.13,26.35,25.68,31.3,22.4,1.52,6.2,63.54,779.78,0.02,232.67
2025-10-28,26.73,27.47,26.31,25.61,30.2,22.6,2.29,6.9,60.63,778.81,0.04,259.03
2025-10-29,26.57,27.54,26.29,25.35,29.3,22.0,3.05,10.2,68.78,779.97,0.02,210.85
2025-10-30,26.64,27.62,26.22,25.6,29.9,22.2,1.78,6.8,62.72,780.58,0.09,231.44
2025-10-31,26.53,27.06,26.17,27.16,32.2,24.1,2.06,5.3,46.47,780.59,0.11,287.61
2025-11-13,25.52,25.99,25.32,24.54,27.9,21.8,2.28,6.5,56.9,779.32,0.02,288.59
2025-11-14,25.23,25.41,25.05,20.0,22.0,18.2,2.7,10.5,76.87,779.12,0.68,228.7
2025-11-15,24.96,25.09,24.79,19.91,22.4,18.3,3.66,11.4,79.08,778.5,1.26,159.05
2025-11-16,24.94,25.61,24.68,21.37,24.8,18.7,1.42,4.7,72.04,782.87,0.07,189.36
2025-11-17,24.7,24.95,24.5,22.84,25.8,19.4,1.87,6.4,51.79,786.17,0.07,297.48
2025-11-18,24.48,24.62,24.33,24.83,28.3,20.8,2.85,8.5,41.98,785.29,0.0,363.79
2025-11-19,24.32,24.55,24.08,25.95,29.4,21.8,2.65,8.7,37.49,783.47,0.0,340.41
2025-11-20,24.04,24.17,23.94,26.81,30.6,23.6,3.91,11.4,37.3,783.2,0.0,308.24
2025-11-21,23.99,24.35,23.78,26.85,32.9,22.6,3.09,10.5,40.5,783.94,0.0,311.3
2025-11-22,24.0,24.52,23.75,25.71,30.6,21.8,2.29,5.8,46.97,784.12,0.03,316.81
2025-11-23,23.63,23.84,23.44,26.88,30.6,23.0,3.63,9.2,31.25,782.29,0.01,285.8
2025-11-24,23.51,23.76,23.35,25.12,27.6,23.3,2.46,7.8,38.68,779.95,0.04,285.67
2025-11-25,23.41,23.66,23.23,21.11,23.9,18.8,1.98,6.7,71.15,782.05,0.5,263.1
2025-11-26,23.41,23.98,23.16,20.46,23.3,17.9,1.45,5.4,64.88,783.91,0.02,275.99
2025-11-27,23.14,23.26,23.02,23.42,26.9,19.4,3.1,9.4,46.54,782.66,0.0,354.37
2025-11-28,22.98,23.16,22.86,25.03,28.9,23.1,2.7,11.0,39.47,781.67,0.01,353.64
2025-11-29,22.73,22.9,22.64,23.43,26.6,20.9,3.31,8.8,46.15,779.98,0.07,360.22
2025-11-30,22.63,22.74,22.5,20.24,22.4,17.9,1.55,7.5,64.83,780.75,0.53,343.89
2025-12-13,20.84,21.42,20.65,17.63,20.2,15.6,1.36,4.7,77.97,782.92,0.02,176.81
2025-12-14,20.67,20.94,20.52,17.9,21.8,15.2,1.64,5.4,68.0,783.41,0.0,241.84
2025-12-15,20.52,20.76,20.41,16.8,20.4,15.3,1.43,8.5,68.74,781.43,0.58,309.9
2025-12-16,20.47,20.83,20.25,17.14,19.5,14.7,1.8,6.7,60.65,780.6,0.43,283.05
2025-12-17,20.27,20.46,20.14,16.19,19.0,14.1,3.02,10.9,55.41,783.78,0.0,423.36
2025-12-18,20.14,20.5,19.92,15.35,19.0,12.6,2.02,6.2,67.27,789.42,0.0,356.44
2025-12-19,20.04,20.44,19.81,15.88,19.6,13.4,1.29,5.1,74.0,787.51,0.0,289.1
2025-12-20,20.04,20.67,19.76,17.25,20.0,14.5,1.45,7.3,69.84,783.5,0.0,290.92
2025-12-21,19.67,19.84,19.57,19.33,21.7,16.8,4.48,12.7,52.05,780.7,0.0,365.73
2025-12-22,19.64,20.01,19.41,18.51,23.0,15.3,2.14,7.4,53.35,780.57,0.0,408.56
2025-12-23,19.52,19.7,19.4,17.31,19.2,15.4,2.43,8.3,55.94,781.5,0.0,435.88
2025-12-24,19.42,19.63,19.27,17.4,20.7,14.8,3.86,9.4,59.11,784.61,0.0,389.81
2025-12-25,19.25,19.3,19.14,15.66,16.4,15.1,6.2,9.3,66.6,784.36,0.0,387.43
2025-12-26,19.14,19.17,19.06,15.8,16.3,15.5,2.38,4.1,71.14,781.8,0.0,404.18
2025-12-27,19.02,19.09,18.98,16.26,17.0,15.8,4.24,8.3,78.54,776.78,0.0,264.23
2025-12-28,18.96,19.0,18.94,17.07,17.6,16.0,5.44,7.6,66.77,775.1,0.0,221.03
2025-12-30,18.46,18.48,18.42,17.05,17.2,17.0,2.29,3.4,77.33,782.43,0.0,213.03
2025-12-31,18.46,18.47,18.45,16.83,16.9,16.7,3.46,4.0,78.84,782.3,0.0,212.3
